"seqnames","start","end","width","strand","gene","log2FoldChange_ATAC","FDR_ATAC","pvalue","peak_type","distanceToTSS","annotation","Conc","Conc_WT","Conc_KO"
"chr7",45238564,45238964,401,"*","0610005C13Rik",0.568940392528212,0.910860043505484,0.0599318843668738,"Gain",-13964,"3' UTR",6.90068541617147,6.42486413368349,7.25789131717769
"chr11",120240847,120241247,401,"*","0610009L18Rik",0.153360569368424,0.996794395859232,0.587181135148179,"Gain",1343,"Promoter (1-2kb)",7.41064020875862,7.18716156877088,7.60409941432885
"chr11",70128460,70128860,401,"*","0610010K14Rik",0.658561376369503,0.807438983962377,0.0210786908087807,"Gain",0,"Promoter (<=1kb)",7.40860579845938,6.87482212246086,7.79735655303929
"chr6",72324286,72324686,401,"*","0610030E20Rik",0.0323607970317105,0.999511467435947,0.918558724081685,"Gain",0,"Promoter (<=1kb)",6.33214413877991,6.17663609561733,6.47250902861829
"chr8",78221517,78221917,401,"*","0610038B21Rik",-0.449320195013733,0.993588564713271,0.305688044445076,"Loss",-21768,"Intron (NM_030113/78514, intron 1 of 22)",4.22822635858554,4.319577144848,4.13069791285812
"chr11",88509746,88510146,401,"*","0610039H22Rik",0.325401930839393,0.996794395859232,0.390697633378865,"Gain",0,"Promoter (<=1kb)",5.0580544916935,4.73303114694165,5.32314871427895
"chr2",163484706,163485106,401,"*","0610039K10Rik",0.24700887534567,0.996794395859232,0.444088712688124,"Gain",-1664,"Promoter (1-2kb)",6.16628076180452,5.8883291624665,6.39923467159982
"chr6",108638429,108638829,401,"*","0610040F04Rik",0.296392101783105,0.996794395859232,0.329664467310744,"Gain",-534,"Promoter (<=1kb)",6.78352450483245,6.47640536994841,7.03660114022734
"chr5",63969621,63970021,401,"*","0610040J01Rik",0.241824535929594,0.996794395859232,0.464241799309597,"Gain",0,"Promoter (<=1kb)",5.96303626220619,5.68809760152439,6.19387198275991
"chr4",101211615,101212015,401,"*","0610043K17Rik",-0.110898401101711,0.997059226673441,0.745921851487405,"Loss",635,"Promoter (<=1kb)",5.67228521196281,5.59412888015549,5.74642421721122
"chr3",137740720,137741120,401,"*","1110002E22Rik",-0.207718755223168,0.996794395859232,0.649851343554923,"Loss",-26883,"Distal Intergenic",4.06838684699514,4.04106352121922,4.09520229773892
"chr10",66755870,66756270,401,"*","1110002J07Rik",0.0516328811062691,0.999511467435947,0.873671767301451,"Gain",0,"Promoter (<=1kb)",6.07661529099966,5.9104276163992,6.22562153652359
"chr12",3476617,3477017,401,"*","1110002L01Rik",0.0858561358999792,0.99693667507943,0.741750628126414,"Gain",0,"Promoter (<=1kb)",8.04878197075899,7.8635538964619,8.21291171316239
"chr7",115692280,115692680,401,"*","1110004F10Rik",0.220034785020392,0.996794395859232,0.380322185008171,"Gain",0,"Promoter (<=1kb)",8.388518139036,8.12656201459887,8.61013986565825
"chr5",115769791,115770191,401,"*","1110006O24Rik",0.383930564526942,0.993412211891505,0.219793148631872,"Gain",0,"Promoter (<=1kb)",6.51116479670425,6.15112037128499,6.79906187437813
"chr6",13873932,13874332,401,"*","1110019D14Rik",-0.537054460181078,0.964720816469272,0.103663913258935,"Loss",2364,"Promoter (2-3kb)",5.94478598507175,6.07559767077708,5.80091987541953
"chr11",87581006,87581406,401,"*","1110028F11Rik",0.0403975258799727,0.999511467435947,0.919891020481272,"Gain",-8944,"Intron (NM_172448/207742, intron 2 of 9)",4.68822849538477,4.52819707763837,4.83226757960847
"chr8",107312273,107312673,401,"*","1110028F18Rik",-0.392968933564967,0.996794395859232,0.40175850129319,"Loss",-1102,"Promoter (1-2kb)",3.98247905940196,4.04728147257718,3.914628421164
"chr3",68776908,68777308,401,"*","1110032F04Rik",0.065859323164196,0.99938667979736,0.832180804053195,"Gain",0,"Promoter (<=1kb)",6.53226361422454,6.35818084004555,6.68758431995966
"chr9",63957262,63957662,401,"*","1110036E04Rik",0.511020208560847,0.993412211891505,0.206201155406155,"Gain",151,"Promoter (<=1kb)",4.7320595765581,4.29187465590815,5.06886837445639
"chr15",76832606,76833006,401,"*","1110038F14Rik",0.12733112866671,0.996794395859232,0.689142125750077,"Gain",145,"Promoter (<=1kb)",6.27833399682604,6.06962854759345,6.46062795255203
"chr19",21624604,21625004,401,"*","1110059E24Rik",-0.278572326991203,0.996794395859232,0.446958988038443,"Loss",5151,"Intron (NM_025423/66206, intron 1 of 3)",5.20221593006967,5.210224880204,5.19416227088766
"chr9",122780010,122780410,401,"*","1110059G10Rik",0.280062157041894,0.996794395859232,0.374348357949426,"Gain",0,"Promoter (<=1kb)",6.40821666037986,6.11076124634497,6.65470222963989
"chr4",124744288,124744688,401,"*","1110065P20Rik",-0.0514698810058191,0.999511467435947,0.849039750867787,"Loss",0,"Promoter (<=1kb)",7.7393929376197,7.62952325204781,7.84148427690603
"chr8",121361087,121361487,401,"*","1190005I06Rik",0.812774926813101,0.773953815989946,0.0177629996908936,"Gain",0,"Promoter (<=1kb)",5.82857789065369,5.19104012772821,6.26920156242573
"chr16",21612906,21613306,401,"*","1300002E11Rik",-0.365777479083855,0.993412211891505,0.197487577884142,"Loss",0,"Promoter (<=1kb)",7.34823638751152,7.39862311786875,7.29602599519994
"chr10",83558570,83558970,401,"*","1500009L16Rik",0.551465490305384,0.993412211891505,0.194261780607831,"Gain",0,"Promoter (<=1kb)",4.46479745728434,3.99848962002843,4.81663536370486
"chr5",114951804,114952204,401,"*","1500011B03Rik",0.577732990366023,0.944766567759856,0.0859427921022414,"Gain",0,"Promoter (<=1kb)",5.89779796671098,5.41592317669503,6.25839090667869
"chr18",61879852,61880252,401,"*","1500015A07Rik",0.569519249738492,0.991790338124494,0.154675821682504,"Gain",20391,"Exon (NM_178928/106877, exon 9 of 19)",4.79589704899297,4.31840526932924,5.15403983684751
"chr19",20386949,20387349,401,"*","1500015L24Rik",0.193188774280562,0.996794395859232,0.578076911712299,"Gain",4297,"Intron (NR_045817/68994, intron 1 of 2)",5.58779014667934,5.34118099431401,5.7983346865522
"chr10",89531086,89531486,401,"*","1500026H17Rik",-0.229152362938884,0.996794395859232,0.604984526287847,"Loss",8861,"Intron (NR_130956/69002, intron 2 of 2)",4.19113091929708,4.17464998072853,4.20742570881474
"chr16",95732708,95733108,401,"*","1600002D24Rik",-0.654251001110629,0.846387217804648,0.0314690630822016,"Loss",-2431,"Promoter (2-3kb)",6.75304516318938,6.93558080760783,6.54402272584839
"chr7",109605671,109606071,401,"*","1600010M07Rik",0.0742475554067292,0.99938667979736,0.820253327981828,"Gain",0,"Promoter (<=1kb)",6.03109453799118,5.85229918543271,6.19015485231813
"chr1",158863385,158863785,401,"*","1600012P17Rik",1.06168208967981,0.779038354897211,0.0181168134966549,"Gain",-55353,"Distal Intergenic",4.33448240066595,3.51957894440522,4.85206396296588
"chr7",37888893,37889293,401,"*","1600014C10Rik",-0.290997957947479,0.996794395859232,0.339190418103368,"Loss",5681,"Intron (NM_001085385/72244, intron 2 of 2)",6.7127140930543,6.72658834398323,6.69870511819587
"chr11",109222144,109222544,401,"*","1600015H23Rik",0.0533442181623214,0.999511467435947,0.860963479261304,"Gain",-12207,"Distal Intergenic",6.72684447379195,6.55972756318063,6.87659715259983
"chr6",86516325,86516725,401,"*","1600020E01Rik",-0.262753212985786,0.996794395859232,0.519552278714959,"Loss",11942,"Intron (NR_037960/72012, intron 3 of 4)",4.58815249695124,4.58847957388436,4.58782534584889
"chr5",45826971,45827371,401,"*","1600023N17Rik",0.0294646530357362,0.999511467435947,0.906664005690099,"Gain",0,"Promoter (<=1kb)",8.3513504855908,8.19745986740622,8.49039651304776
"chrX",55352934,55353334,401,"*","1600025M17Rik",-0.237578764782404,0.996794395859232,0.509548463236932,"Loss",-9634,"Distal Intergenic",5.29887300552114,5.28624358519032,5.31139282605951
"chr9",99351670,99352070,401,"*","1600029I14Rik",0.081461250719315,0.99938667979736,0.830887976766377,"Gain",-404,"Promoter (<=1kb)",4.99587268719141,4.81295129662099,5.15818924930796
"chr8",61739861,61740261,401,"*","1700001D01Rik",0.184118388385078,0.996794395859232,0.655361054567289,"Gain",1645,"Promoter (1-2kb)",4.5588499144941,4.317233726895,4.76574656039128
"chr14",66542870,66543270,401,"*","1700001G11Rik",0.0830566226020033,0.999511467435947,0.840598872870026,"Gain",-8292,"Intron (NM_029979/66854, intron 3 of 5)",4.54669340812775,4.36281251579429,4.70976482042793
"chr1",33720630,33721030,401,"*","1700001G17Rik",-0.44368052448505,0.996794395859232,0.50772521595148,"Loss",11725,"Distal Intergenic",2.90978134706186,3.0005801691066,2.81288181567581
"chr5",146138068,146138468,401,"*","1700001J03Rik",0.138652346109509,0.996794395859232,0.68803582752821,"Gain",-15954,"Distal Intergenic",5.63114292950749,5.41592317669503,5.81838500649046
"chr12",110649082,110649482,401,"*","1700001K19Rik",-0.0992457559200874,0.998167634057098,0.784152288238915,"Loss",-29,"Promoter (<=1kb)",5.28826018593143,5.20398183523944,5.36788577471217
"chr19",53236469,53236869,401,"*","1700001K23Rik",0.0753525725237789,0.999511467435947,0.850292820146564,"Gain",6767,"Distal Intergenic",4.73151455228846,4.55200323256717,4.89114109994028
"chr15",83251395,83251795,401,"*","1700001L05Rik",0.820466408232635,0.76157737588213,0.0140774514561917,"Gain",0,"Promoter (<=1kb)",6.02335377758877,5.38073919466199,6.4663757735434
"chr2",30691523,30691923,401,"*","1700001O22Rik",0.0298891015840862,0.999511467435947,0.939829712673683,"Gain",0,"Promoter (<=1kb)",4.76640912711487,4.61221775899071,4.90570059190446
"chr11",98246581,98246981,401,"*","1700003D09Rik",0.00805665144821091,0.999511467435947,0.984399665470987,"Gain",2128,"Promoter (2-3kb)",4.50616658256702,4.36397732159236,4.63559065363444
