gene_id	a161	a165	a170	a173
Lrrc45	304	351	464	535
Mob2	1002	930	951	1166
Cbr2	27	12	21	34
Maged1	72	95	306	382
Fasn	295	359	257	317
Arhgap19	179	145	185	262
Dus1l	536	574	636	809
Gps1	2101	2533	2670	3164
Zdhhc16	409	456	480	590
Rfng	334	311	435	486
Mms19	391	437	418	529
Slc16a3	207	283	928	1069
Csnk1d	1539	1703	2178	2384
Cd7	14748	17514	13978	15800
Sectm1a	9	9	4	7
Ogfod3	167	206	385	422
Ubtd1	68	72	161	150
Ankrd2	7	0	0	4
Wdr45b	999	1209	1312	1559
Fn3k	1	0	6	4
Hoga1	10	5	8	4
Pi4k2a	844	824	1239	1357
R3hcc1l	538	636	564	773
Loxl4	2	8	4	4
Hps1	684	771	960	1078
Cnnm1	0	0	6	2
Got1	948	786	1601	2225
Entpd7	258	260	298	344
Cutc	606	617	724	835
Abcc2	33	19	19	42
Gm10768	33	19	19	42
Dnmbp	205	193	186	218
Cpn1	71	53	46	64
Cyp2c23	3	0	0	3
Erlin1	2815	3347	3883	4641
Chuk	3057	3159	2670	3088
Cwf19l1	310	384	318	393
Scd3	49	59	59	42
Scd2	608	645	907	863
Ndufb8	7437	7724	9291	11413
Sema4g	3	10	4	3
Mrpl43	1373	1390	1450	1918
Twnk	130	136	135	159
Sfxn3	486	553	809	939
Kazald1	1	2	1	0
Btrc	388	408	389	406
Poll	146	134	135	171
Oga	1229	1312	1311	1504
Ldb1	565	574	737	816
Gbf1	894	978	938	1080
Nfkb2	2584	2698	3709	4575
Fbxl15	144	99	185	212
Mfsd13a	140	152	176	237
Actr1a	1037	1276	1364	1519
Sufu	201	208	202	216
Hexa	3685	4213	5201	6439
Arih1	913	975	1191	1398
Bbs4	166	151	169	156
Adpgk	362	400	502	587
Parp6	240	223	223	259
Limd1	1729	1768	1857	2261
Sacm1l	1057	1169	1526	1697
Fyco1	1159	1146	953	1018
Slc6a20b	57	83	44	48
Lztfl1	751	888	1133	1393
Tbl1x	900	889	883	1184
Zfhx4	1	4	1	2
Ribc1	21	42	36	36
Hsd17b10	1006	1048	1440	1592
Huwe1	1076	872	850	975
Fam120c	41	55	42	64
Tsr2	611	585	555	569
Fgd1	14	0	2	20
Gnl3l	445	540	451	545
Maged2	16	25	42	40
Apex2	201	216	241	249
Alas2	426	369	371	425
Pfkfb1	56	25	23	44
Abhd6	1344	1345	1509	1739
Flnb	1605	1388	1233	1508
Dnase1l3	8746	7676	6920	7684
Polr3a	294	344	277	352
Sat1	63137	58913	54822	61268
Acot9	1332	1449	1696	2056
Prdx4	629	645	651	812
Rps24	14680	13998	11455	14910
Ptprj	1190	1125	874	944
Banp	1030	1064	869	1172
Car5a	16	18	7	14
Jph3	9	5	2	6
Itgb8	4	6	1	8
Sp4	134	123	140	148
Atp10a	11	13	14	35
Ube3a	2293	2225	2184	2511
Padi3	2	3	2	0
Padi1	7	7	3	0
Padi4	5	2	1	11
Kdm5c	540	533	594	658
Sbds	1851	1906	2211	2296
Rabgef1	349	338	579	746
Itga7	41	37	18	57
Rdh5	35	31	48	67
Cd63	4366	4063	8214	8882
Gdf11	28	13	16	24
Ormdl2	1899	1848	2115	2687
Dnajc14	793	846	1010	1272
Mmp19	70	78	104	126
Dgka	323	347	401	485
Cdk2	937	1180	1186	1457
Pmel	14	21	12	14
Rps26	6452	6516	5047	7265
Pa2g4	1442	1332	1219	1631
Esyt1	559	543	800	943
Smarcc2	793	846	1113	1167
Chmp6	564	740	760	830
Baiap2	265	330	427	435
Rnf41	726	939	968	1066
Nabp2	1335	1299	1268	1701
Aatk	4	2	8	2
Tepsin	182	227	193	283
Cnpy2	1543	1540	1885	2329
Il23a	23	17	12	30
Faap100	276	197	242	311
Pde6g	11	7	7	4
Mip	3	2	4	5
Atp5b	21612	24865	26868	32408
Prim1	878	1106	939	1020
Tac2	1	1	30	1
Nab2	143	141	443	493
Shmt2	391	575	585	736
R3hdm2	385	349	312	518
Gli1	1	7	2	3
Ddit3	1075	1134	1054	1229
Mbd6	223	161	177	222
Dctn2	2119	2043	2390	2794
Ttc4	558	545	505	561
Pip4k2c	315	364	382	413
Katnal2	12	9	2	7
Hdhd2	627	660	862	991
Agap2	119	105	57	86
Pias2	382	351	488	567
Rnf165	16	16	42	30
Atp5a1	4391	5509	5831	7002
Pstpip2	281	296	227	319
Crisp1	5	2	3	0
Crisp3	0	0	3	3
Atp23	130	142	177	157
Usp33	496	577	527	713
Clns1a	2750	3015	3445	4347
Paip1	556	372	654	202
Nnt	461	625	827	1074
Paox	501	441	675	618
Echs1	1079	1145	1291	1448
Fuom	75	73	90	171
Msx3	0	0	4	5
Zfp511	943	868	989	1198
Adam8	2566	2548	1512	1686
Tubgcp2	387	410	446	464
Adgra1	2	0	4	1
Inpp5a	163	214	175	265
Cyp2e1	9	10	3	4
Syce1	0	0	10	4
Bet1l	949	961	954	1085
Ric8a	964	1156	1242	1638
Sirt3	381	534	689	606
Psmd13	2265	2549	2975	3468
Ifitm5	16	17	42	43
Ifitm1	5423	3591	5698	7079
Ifitm3	37655	33170	47226	60596
Sigirr	337	355	484	553
Ptdss2	358	347	514	586
Irf7	1831	1857	2156	2634
Hras	477	463	608	769
Lmntd2	35	29	26	38
Taldo1	21273	23063	22988	26262
Eps8l2	130	109	135	117
Tmem80	299	305	259	312
Pidd1	122	104	89	95
Rplp2	12375	12424	10253	13426
Pnpla2	1472	1676	2170	2610
Cd151	41	18	29	34
Tspan4	212	184	455	576
Chid1	369	349	412	504
Tmem192	1214	1222	1531	1736
Apool	1132	998	1020	1453
Chm	678	726	641	813
Crcp	758	807	785	863
Asl	682	717	1029	1172
Gusb	1843	1925	2874	3667
Phkg1	57	39	64	48
Sumf2	169	186	217	287
Tm9sf2	5442	6359	7173	9559
Clybl	234	200	312	344
Farp1	6	10	15	8
Slc15a1	16	16	5	35
Dock9	42	44	72	63
Tnrc6c	723	560	654	814
Tmc6	277	373	356	435
6030468B19Rik	100	100	73	78
Tk1	1152	1339	1220	1377
Cant1	487	431	499	570
Cbx2	34	22	29	41
Cbx8	178	201	241	241
Gaa	550	617	776	895
Eif4a3	3853	4334	5214	5846
Rptor	393	361	351	289
Pde8a	102	124	76	90
Nat1	1	0	0	5
Tma16	315	302	256	374
Dach2	6	13	8	8
Klhl4	4	0	3	4
Zfp202	63	33	37	51
Copg2	875	878	973	1084
Mkln1	1931	1993	2201	2742
Bach1	815	894	686	916
Cct8	7207	8617	8559	11332
Usp16	1491	1383	1458	1701
Phf6	730	817	814	1070
Hprt	4693	4712	4907	6048
Ccdc51	168	172	175	157
Atrip	361	412	404	441
Gm53191	361	412	404	441
Shisa5	7840	9453	15488	17580
Pfkfb4	309	314	426	496
Uqcrc1	1952	2284	2830	3082
Arhgef9	10	12	17	8
Tmem47	9	9	3	7
Alox5	2	0	3	4
Marchf8	41	27	46	49
Wdr73	385	514	407	419
Nmb	44	74	75	89
Sec11a	2966	3124	3312	3970
Pigq	588	654	648	720
Rab40c	208	233	225	297
Mettl26	392	417	507	597
Mcrip2	80	91	252	308
Rhot2	153	144	156	204
Rhbdl1	2	13	1	5
Jmjd8	283	350	335	423
Wdr24	241	267	271	312
Fbxl16	0	6	2	1
Prps2	882	982	1145	1263
Sdc3	437	403	916	1025
Hadha	944	937	1055	1353
Il6	314	380	634	763
Tyms	1262	1481	1413	1495
Agbl1	2	4	4	2
Hspa4l	88	133	160	192
Plk4	231	287	212	248
Mfsd8	186	144	118	144
Larp1b	297	318	328	431
Jade1	307	395	311	359
D3Ertd751e	283	338	269	313
Crispld1	3	0	2	1
Gdap1	19	28	7	10
Ly96	877	881	753	1084
Itih5	26	20	25	29
Atp5c1	11179	11798	12525	15782
Taf3	743	683	758	834
Exosc7	1339	1541	1721	1905
Zdhhc3	945	1197	1314	1515
Tgm4	2	11	0	6
Slco3a1	82	69	160	241
Pgm1	182	217	309	306
Slc25a10	641	633	1300	1406
Hgs	565	640	744	842
Rpl14	13310	12848	11027	14978
Rassf3	799	836	1224	1360
Ccr1	98	53	91	89
Ccdc7a	0	6	5	1
Itgb1	3408	3426	3867	4523
Nrp1	316	293	177	230
Pard3	10	18	7	5
Homer2	15	15	11	20
Dhtkd1	88	58	38	83
Sec61a2	241	268	342	397
Nudt5	1097	1108	1048	1226
Zfp282	120	122	146	142
Pdia4	1031	1352	1727	2147
Iscu	7799	7625	9284	10781
Pramel6	1	0	1	5
Pramel7	2	0	1	3
Fam20c	20	44	24	71
Prkar1b	13	10	35	31
Pdgfa	33	40	46	46
Dnaaf5	86	95	127	143
Get4	1215	1427	1677	1981
Xiap	868	741	659	910
Stag2	1418	1378	1250	1641
Cplx2	36	25	13	13
Higd2a	3506	3425	3059	4145
Nop16	1357	1615	1794	2019
Arl10	444	468	481	546
4833439L19Rik	1355	1437	2007	2557
Thoc3	958	892	878	1105
Faf2	891	1058	1080	1304
Tspan17	64	57	243	287
Unc5a	2	2	3	2
Hk3	88	89	91	114
Uimc1	951	1006	979	1272
Smad7	621	635	819	816
Myo5b	13	11	9	28
Casp12	2	2	3	19
Casp1	3216	3453	2605	3695
Snca	210	179	146	188
Gria4	1	4	3	2
Kbtbd3	268	254	282	330
Aasdhppt	681	673	714	1015
Cwf19l2	680	632	558	685
Alkbh8	304	345	360	481
Lypla1	2491	2747	2749	3494
Oprk1	5	2	5	4
Rb1cc1	830	862	777	986
Sntg1	4	3	14	1
Adhfe1	11	3	3	6
Mybl1	13	10	10	21
Sgk3	2879	2906	3303	4397
Cops5	2108	1992	2170	2663
Stau2	311	366	290	349
Rdh10	154	116	107	175
Terf1	525	675	716	760
Tfap2b	8	5	9	4
Paqr8	75	89	98	128
Eya1	13	8	5	7
Tmem14a	314	292	476	446
Gsta3	46	35	65	79
Tram1	2906	3297	3602	4808
Gm4956	890	736	1262	862
Lactb2	326	326	366	454
Slco5a1	742	592	623	636
Ube2w	1466	1530	1663	1979
Tmem70	1156	1286	1106	1210
Pikfyve	446	414	473	510
Idh1	713	664	1703	2245
Akr1cl	18	18	13	23
Mettl21a	306	360	363	436
Creb1	1133	1113	983	1212
Klf7	379	359	361	395
Fastkd2	375	421	451	632
Adam23	6423	5526	3804	4863
Eef1b2	4982	4791	4558	6159
Ndufs1	1123	1307	1494	1889
Nrp2	159	115	202	239
Maip1	565	597	524	623
Boll	9	17	16	31
Rftn2	32	34	13	39
Mob4	2465	2674	3012	3680
Hspd1	2930	4161	3597	4764
Coq10b	8694	9725	14086	17440
Sf3b1	12789	12810	11679	13364
Ccdc150	13	18	5	9
Slc39a10	315	372	352	325
Cps1	0	2	6	0
Slc40a1	152	137	980	769
Wdr75	591	549	592	688
Ikzf2	33	13	38	56
Lancl1	963	979	1310	1441
Acadl	2022	2229	2754	3069
Kansl1l	257	258	361	366
Rpe	1492	1631	1720	2091
Icos	705	879	636	836
Ctla4	14	3	4	0
Cd28	12	11	6	7
Raph1	189	145	88	172
Carf	191	178	170	204
Ica1l	10	16	12	13
Wdr12	970	1116	1265	1475
Nop58	2014	2702	2321	3010
Sumo1	8046	8272	8919	11047
Cdk15	10	14	12	12
Als2	132	135	203	270
Stradb	281	280	372	436
Trak2	175	178	222	268
Casp8	1575	1811	2247	3017
Cflar	2054	1963	1746	2239
Ndufb3	3590	3629	3876	4999
Clk1	8365	9311	9325	10738
Ppil3	1135	1215	1126	1249
Nif3l1	845	851	1070	1286
Orc2	496	539	527	599
Sgo2a	108	140	86	112
Col5a2	0	3	5	0
Poglut2	254	257	284	391
Ercc5	272	311	279	353
Tex30	609	902	899	856
Khdrbs2	37	38	40	49
Slc9a2	37	44	42	35
Ptp4a1	149	67	96	170
Slc9a4	11	7	21	37
Il18rap	117	95	84	106
Il1rl1	11	18	22	23
Il18r1	25	27	20	19
Il1r1	7	8	6	24
Il1r2	7925	8374	7325	8414
Map4k4	655	616	1148	1406
Npas2	4	1	1	0
Pdcl3	1408	1380	1836	2114
Chst10	258	385	237	307
Rev1	369	382	384	391
Eif5b	2614	2780	2520	3353
Mrpl30	1637	1628	1829	2371
Mitd1	611	739	626	716
Cracdl	1	2	2	1
Stk17b	23651	26298	28208	35839
Asnsd1	1457	1567	1478	1627
Osgepl1	299	292	362	332
Ormdl1	1591	1418	1384	1685
Pms1	250	257	242	242
Inpp1	351	389	410	466
Gls	1707	1656	1507	2148
Stat1	5492	5804	6683	7860
Nabp1	7010	5960	5697	7307
Tmeff2	9	17	21	14
Mgat4a	654	540	552	581
Unc50	2211	2407	2948	3474
Coa5	1279	1308	1515	1833
Inpp4a	187	188	216	234
Cnga3	65	71	44	72
Tmem131	1662	1558	1403	1464
Zap70	0	3	2	4
Sema4c	3	10	15	19
Plekhb2	1568	1606	2335	2601
Ptpn18	4977	4724	3698	4544
Imp4	1612	1726	1851	2178
Dst	149	136	146	190
Prim2	699	722	616	701
Zfp142	91	89	72	106
Col19a1	0	0	2	4
Rhbdd1	297	357	395	433
Mff	2806	3048	3408	4325
Fam135a	112	326	130	91
Sdhaf4	1215	1382	1255	1384
Smap1	1362	1570	1560	1823
B3gat2	17	26	17	21
Ogfrl1	2899	3085	3473	3747
Agfg1	775	858	889	1194
Nhej1	126	152	182	210
Cyp27a1	3579	3512	3722	4552
Rnf25	355	403	434	493
Bcs1l	233	261	275	335
Plcd4	20	37	17	24
Cnot9	1139	1256	1278	1574
Vil1	4	5	3	7
Ctdsp1	252	200	177	229
Slc11a1	422	297	814	867
Pnkd	859	709	966	1166
Cxcr2	57	37	71	58
Ppm1f	160	139	167	200
Igfbp5	0	0	1	10
Xrcc5	90	92	62	55
Pecr	122	101	91	121
Atic	353	333	337	417
Fn1	33	23	26	48
Bard1	68	65	32	54
Zfand2b	563	514	685	841
Abcb6	26	40	21	22
Ankzf1	305	340	506	473
Glb1l	118	116	138	129
Stk16	648	744	855	995
Tuba4a	2781	3345	5145	5879
Dnajb2	290	289	325	377
Ptprn	8	1	1	0
Speg	8	7	11	1
Dnpep	753	794	1128	1354
Stk11ip	248	239	260	331
Trip12	932	780	807	982
Slc16a14	121	149	130	142
Sp100	3260	3586	3611	4261
Itm2c	4176	4982	7581	8515
4933407L21Rik	8	8	7	5
Spata3	0	3	14	6
2810459M11Rik	1	9	5	13
Htr2b	1	1	0	8
Psmd1	2126	2207	2677	3382
Ncl	6004	6989	5804	7400
Epha4	22	14	10	22
Nmur1	0	1	0	7
Ptma	40783	47230	41544	52693
Pde6d	1118	1108	1349	1661
Cops7b	433	488	432	508
Farsb	1337	1698	1732	2086
Mrpl44	444	448	355	436
Serpine2	27	37	28	17
Chrnd	5	0	0	2
Chrng	33	15	18	15
Eif4e2	2209	2295	2720	3068
Efhd1	1	4	2	10
Ndufa10	2255	2379	2570	3376
Rnpepl1	370	367	464	659
Capn10	93	113	125	195
Gpr35	2929	3580	3055	3702
Mterf4	243	213	157	218
Pask	58	74	49	68
Ppp1r7	1026	1099	1184	1222
Septin2	95	69	109	77
Stk25	810	826	1192	1245
Bok	0	5	0	10
Thap4	275	277	353	399
Atg4b	826	795	987	1205
Dtymk	1221	1454	1288	1512
Ing5	351	383	494	536
Pdcd1	56	38	78	124
Inpp5d	3261	3273	3132	3593
Atg16l1	378	399	443	458
Mlph	8	7	12	18
Rab17	2	2	1	5
Lrrfip1	2971	3179	3440	4144
Scly	304	258	250	301
Ilkap	1226	1343	1465	1633
Asb1	63	83	72	110
Cdh7	4	6	8	13
Hdac4	313	286	245	329
Serpinb8	10	19	75	92
Cln8	1121	1458	1232	1299
Relch	630	527	513	596
Tnfrsf11a	1037	948	1043	1189
Serpinb11	0	0	0	9
Slco6c1	1	5	5	4
Gin1	472	495	443	602
Pam	69	58	38	59
Ccdc93	208	241	218	300
Actr3	32741	37112	38577	45618
Slc35f5	180	147	351	355
Lypd1	4	5	2	7
Tmem163	23	18	36	37
Acmsd	11	5	7	3
Ccnt2	3944	3747	3817	4627
Ubxn4	2527	2646	2615	3439
Mcm6	1859	2523	2397	2608
Dars	2260	2587	2759	3493
Rgs18	2816	3244	3328	4306
Rgs1	56932	45341	25364	26689
Rgs2	66308	66836	48093	54679
Cdc73	701	826	724	777
Cfh	103	64	188	237
Tsn	2913	2781	2967	3524
Nifk	879	1206	1027	1404
Tfcp2l1	14	21	20	12
Epb41l5	55	29	54	58
Ptpn4	212	193	161	281
Dbi	2895	2734	3043	3891
3110009E18Rik	88	83	103	95
Steap3	14	13	10	19
Marco	8	8	13	1
Nek7	1824	2072	2315	2617
Atp6v1g3	5	6	6	13
Ptprc	51994	52015	56321	70006
Nr5a2	2	0	2	10
Cd55	42	25	29	37
Ddx59	169	181	200	200
C4bp	7	11	8	10
Cacna1s	976	819	692	863
Pfkfb2	128	81	60	84
Tmem9	163	182	220	258
Tnnt2	10	14	8	24
Tnni1	7	9	4	5
Csrp1	1618	1593	2364	2650
Srgap2	288	295	287	406
Arl8a	1653	1955	2783	3340
Eif2d	568	709	707	754
Ube2t	380	465	367	406
Rassf5	3406	3919	4423	5026
Rab29	1257	1301	1319	1685
Nucks1	995	1062	1136	1262
Slc45a3	9	10	48	44
Elk4	305	243	212	330
Cdk18	6	4	7	5
Rbbp5	437	539	523	501
Nfasc	4	1	0	2
Pik3c2b	11	8	9	5
Klhl12	33	51	61	46
Cyb5r1	423	469	776	982
Adipor1	1983	2204	3051	3774
Ppfia4	3356	3727	3624	4732
Atp2b4	83	64	54	58
Tor1aip1	2083	2156	2266	2802
Lhx4	0	4	2	9
Xpr1	771	910	879	1142
Stx6	1099	1026	1513	1682
Mr1	85	108	77	130
Glul	591	652	1037	1082
Rgs16	5	2	4	5
Lamc1	21	26	33	28
Lamc2	4	10	1	0
Ncf2	3071	3525	5051	6060
Rgl1	2870	2995	3938	4929
Niban1	1443	1467	1782	2226
Rnf2	810	963	1269	1507
Coq8a	421	559	505	601
Cdc42bpa	31	36	34	45
Ahctf1	559	520	475	534
Tfb2m	406	488	585	737
Kif26b	15	14	10	23
Efcab2	64	84	83	70
Parp1	678	762	856	973
Acbd3	733	749	712	816
Cox20	587	644	680	808
Desi2	264	234	258	308
Sdccag8	915	1028	904	1134
Capn2	461	528	557	657
Trp53bp2	162	154	149	200
Srp9	3359	3171	3626	4221
Cnih3	12	2	5	4
Nvl	802	748	802	853
Tmem63a	215	245	282	302
Pycr2	755	917	944	994
Opn3	91	76	103	115
Fh1	3631	3829	4606	5904
Rgs7	2	13	6	5
Spta1	7	13	12	18
Ifi202b	179	199	498	616
Ifi211	47	33	89	91
Dusp23	193	144	102	181
Cfap45	65	37	38	47
Tagln2	4805	4996	6229	8446
Slamf9	180	226	159	215
Copa	1532	1731	1969	2385
Dcaf8	1340	1512	1472	1662
Vangl2	62	88	165	137
Uck2	802	870	1273	1510
Tada1	1442	1669	1753	1910
Pou2f1	379	385	431	371
Mpzl1	87	67	126	132
Adcy10	6	5	3	13
Mpc2	3447	3205	3329	3930
Dcaf6	48	50	78	83
Xcl1	20	45	6	10
Dpt	2	1	8	19
Nme7	199	215	270	384
Atp1b1	64	36	45	116
Blzf1	342	487	483	546
Ccdc181	271	268	336	387
F5	24	30	94	109
Selp	3	10	18	17
Sell	70	27	70	101
Sele	2	3	1	6
Scyl3	409	402	414	469
Kifap3	211	197	165	224
Prrx1	16	14	11	11
Astn1	2	6	4	6
Sec16b	22	36	24	27
Ralgps2	239	417	844	646
Abl2	164	85	78	142
Soat1	1783	1903	2106	2707
Axdnd1	40	35	21	30
Smyd2	217	266	208	250
Ptpn14	29	21	21	27
Cenpf	278	269	206	277
Kctd3	166	153	124	110
Ush2a	1	0	0	6
Esrrg	77	69	80	123
Eprs	2400	2612	3132	3716
Cr2	72	78	34	96
Bpnt1	781	725	1177	1411
Iars2	382	460	525	632
Mtarc1	3	11	6	13
Nek2	39	52	48	46
Lpgat1	944	1123	991	1296
Ppp2r5a	1986	2058	2290	2909
Pacc1	1269	1538	1540	1936
Atf3	11417	17157	18104	23421
Batf3	2485	2519	2359	2927
Tatdn3	439	394	423	407
Angel2	1249	1280	1268	1548
Traf5	283	304	237	331
Irf6	31	33	18	12
Lamb3	214	290	453	436
Plxna2	13	11	10	13
Usf1	1520	1680	1759	1936
Nmt2	273	268	375	417
Suv39h2	108	125	244	208
Dclre1c	2028	2003	1819	1965
Cfap126	23	27	53	41
Meig1	10	4	1	9
Fam107b	8605	8951	7947	9407
Fcgr2b	1014	1060	1630	2119
Frmd4a	333	324	285	350
Dusp12	489	485	519	592
Sephs1	548	746	769	776
Atf6	1124	1132	1011	1018
Phyh	1645	1537	1716	2193
Uhmk1	598	597	474	634
Mcm10	153	151	111	128
Uap1	1869	1839	2317	2693
Optn	67	68	79	82
Ddr2	10	4	5	7
Hsd17b7	178	224	131	179
Ccdc3	2	1	4	2
Rgs5	2	5	1	3
Enkur	4	10	7	9
Nuf2	315	424	255	356
Lmx1a	2	7	3	15
Aldh9a1	1044	1284	1275	1586
Mgst3	198	103	156	241
Eef1aknmt	145	116	160	216
Vamp4	3037	3383	4413	5439
Pigc	654	648	607	713
Tnfsf4	41	64	29	41
Prdx6	12881	14450	18375	20668
Klhl20	360	293	319	307
Nsun6	291	240	238	270
Cenpl	650	627	864	1105
Dars2	263	345	381	509
Mrc1	36	24	151	200
Serpinc1	112	131	107	180
Stam	321	310	266	396
Rabgap1l	926	846	591	673
Trdmt1	215	203	314	370
Tnn	0	3	6	1
Cubn	4	5	5	15
Rsu1	3199	3468	4705	5793
Vim	1946	2109	3336	5482
Pter	95	95	154	198
4921504E06Rik	2	1	3	1
Pip4k2a	9920	11666	12445	13759
Bmi1	309	403	386	503
Dnajc1	728	704	808	923
Mllt10	979	1165	972	1217
Plxdc2	14	21	58	62
Nek6	429	504	309	409
Psmb7	2640	2655	3132	3877
Nr5a1	0	1	0	8
Ppp6c	1812	1865	2197	2617
Golga1	374	390	340	382
Arpc5l	5509	5599	4495	5168
Orc4	1134	1317	1384	1668
Kif5c	8	1	4	3
Mmadhc	1572	1512	1553	1908
Mindy3	589	574	758	951
Itga8	39	26	39	146
Il2ra	74	39	18	52
Spopl	387	441	348	380
Pfkfb3	1936	1704	1870	1872
Yme1l1	1031	1039	1039	1347
Prkcq	20	16	11	19
Mastl	72	79	58	63
Acbd5	1027	998	967	1097
Abi2	243	306	289	463
Pdss1	146	170	126	218
Pkn3	46	57	65	66
Apbb1ip	3810	3799	3585	4304
Gad2	2	3	3	4
Zbtb43	224	195	216	290
Odf2	463	478	618	622
Slc2a8	121	168	251	257
Lrsam1	55	72	88	101
Niban2	58	49	135	139
Stxbp1	40	47	46	80
Coq4	202	157	180	280
Med27	1124	1290	1194	1369
Ttf1	666	573	518	684
Ddx31	129	162	172	206
Ak8	10	0	10	10
Spaca9	17	7	15	51
Dpm2	1708	1666	1603	1783
St6galnac6	253	205	475	542
Tsc1	344	307	352	350
Eng	18	20	60	73
Gfi1b	6	10	24	17
Gtf3c5	221	276	297	293
Ak1	1	6	0	9
Cel	115	35	14	1
Slc25a25	308	325	343	394
Ptges2	316	336	407	457
Ralgds	120	178	178	269
Lcn2	227	89	133	127
Kcnj3	0	2	0	1
Nr4a2	6540	9460	13258	15521
Gpd2	1459	1719	1488	1782
Galnt5	6	7	3	5
Gbgt1	4	3	0	7
Cytip	24619	21770	28028	34983
Olfm1	571	562	598	768
Acvr1c	7	5	11	8
Fcnb	2	0	4	61
Acvr1	31	55	77	139
Col5a1	4	3	9	11
Upp2	13	21	15	24
Abl1	670	563	656	792
Fubp3	208	199	217	246
Tor1b	577	508	606	768
Tor1a	1881	2053	2747	3174
BC005624	2303	2557	3202	3825
Crat	127	101	167	228
Usp20	112	151	237	253
Dolpp1	273	296	321	393
Ntmt1	419	433	532	652
Miga2	47	68	102	77
Sh3glb2	208	240	334	328
Hspa5	15114	17666	18784	24698
Kynu	2467	2643	2445	3009
Gapvd1	966	955	1055	1365
Psmd5	1368	1692	1550	1864
Cutal	0	1	2	4
Zeb2	2054	1924	2751	3663
Phf19	188	189	246	333
Hc	3	10	4	8
Traf1	16877	15932	18185	20112
Rab14	7091	7488	8782	10314
Gsn	10710	13260	10606	11686
Stom	2154	2925	4188	4320
Dab2ip	751	641	728	763
Ttll11	1	3	3	4
Mrrf	347	330	335	432
Grb14	5	1	2	2
Rbm18	1115	1022	1098	1407
Lhx6	4	1	2	3
Gca	641	702	832	971
Ndufa8	3173	3251	3312	4271
Ifih1	627	546	511	617
Slc4a10	1	6	5	1
Psmd14	4703	4718	4917	5949
Strbp	1207	1353	850	970
Wdr5	383	396	404	468
Brd3	944	993	1075	1247
Lcn4	9	0	1	0
Egfl7	15	9	5	21
Agpat2	80	80	155	156
Notch1	34	23	22	24
Sec16a	411	423	339	538
Inpp5e	167	196	202	255
Pmpca	926	1169	1358	1757
Entr1	1145	1118	1437	1727
Card9	148	149	177	221
Gpsm1	84	114	200	185
Nacc2	57	39	96	107
Camsap1	142	146	112	204
Fcna	110	90	583	445
Tmem141	800	896	1274	1479
Mamdc4	10	13	14	11
Traf2	1631	1865	2041	2181
Lcn12	0	5	0	1
Abca2	177	165	247	335
Nmi	1781	1900	1704	2159
Neb	18	13	18	21
Sapcd2	25	44	25	26
Uap1l1	988	1052	1847	2242
Dpp7	433	489	601	829
Grin1	16	10	4	7
Arl6ip6	1034	1095	1141	1655
Anapc2	640	834	1043	1199
Ssna1	1831	1787	1881	2296
Rbms1	1941	2163	2836	3524
Itgb6	8	2	3	7
Arrdc1	3132	3327	4481	4544
Zmynd19	342	382	437	471
Dph7	327	375	348	322
Pax8	20	15	8	9
Marchf7	1946	1691	1946	2357
Psd4	753	835	697	767
Ly75	424	332	361	345
Il1rn	1693	1740	4051	5189
Hnmt	4	8	13	18
Baz2b	3310	3507	3278	3885
Wdsub1	397	391	467	739
Dapl1	7	0	1	6
Pkp4	42	41	77	66
Galnt3	26	23	35	33
Nup35	512	524	531	653
Dusp19	246	258	214	254
Nckap1	11	7	15	33
Frzb	1	1	7	4
Dnajc10	696	852	1013	1028
Itprid2	750	700	1056	1393
Itga4	7521	6215	4535	5691
Slc25a12	497	537	476	574
Ube2e3	2127	2095	2604	2976
Dync1i2	768	830	907	1151
Cwc22	384	403	349	394
Cybrd1	22	12	49	52
Zfp385b	4	2	4	7
Hat1	3416	3584	4103	4914
Xirp2	0	5	3	14
Gm1322	0	5	3	14
Stk39	139	136	123	158
Cers6	2365	2525	2419	2841
Ssrp1	1652	1983	2193	2610
Dhrs9	43	46	41	36
Lrp2	24	19	23	23
P2rx3	4	0	6	2
Prg3	43	8	61	122
Prg2	43	63	128	122
Slc43a3	271	417	414	442
Slc43a1	31	24	29	59
Timm10	821	841	729	888
Ube2l6	1976	1587	2317	2520
Clp1	691	857	1065	1129
Med19	404	457	572	520
Tfpi	38	8	76	99
Fastkd1	140	153	136	172
Itgav	567	534	353	559
Phospho2	613	656	751	724
Zc3h15	1844	1884	1772	2471
Mtx2	1470	1453	1553	1964
Atf2	828	802	742	839
Chrna1	14	13	13	21
Ola1	1332	1416	1388	1622
Sp3	1278	1260	1044	1231
Itga6	70	35	38	45
Kif18a	164	215	197	211
Arl14ep	260	208	219	262
Slc12a6	706	811	753	821
Emc4	1950	2022	2720	3290
Katnbl1	445	442	476	704
Nop10	5425	5252	5151	6400
Lpcat4	446	553	1030	1402
Potea	3	0	0	4
Ccdc34	298	255	237	324
Lin7c	1313	1346	1523	1718
Commd9	411	474	519	457
Traf6	483	496	663	700
Iftap	637	598	692	909
Dnajc24	809	840	934	1052
Elp4	182	195	167	205
Pax6	12	19	12	11
Eif3m	3993	3908	4053	5265
Prrg4	18	18	34	27
Depdc7	493	464	446	425
Tcp11l1	705	646	726	802
Cstf3	949	1117	1154	1312
Hipk3	465	428	447	501
Fbxo3	1512	1628	1883	2376
Caprin1	2877	3278	3294	4117
Nat10	157	171	205	250
